Nr,ES_ID,Comp_ID,Exp_ID,Study_ID,Shared_control,Within_exp_id,Control_id,First_author,Year,J_abbr_name,animal,Strain,Dam_diet_choice_chow,Dam_diet_start_exp_dPC,Dam_diet_end_exp_dPC,Dam_diet_lactation_incl,Dam_diet_duration,Dam_diet_contr_code,Dam_diet_contr_E,Dam_diet_contr_PNP,Dam_diet_exp_code,Dam_diet_exp_E,Dam_diet_exp_PNP,Offspr_diet_code,Offspr_diet_E,Offspr_diet_PNP,Offspr_diet_start_dPC,Litter_size_equalized,Offspr_crossfosterd,Offspr_sex,FoodIntake_age_dPC,Bodyweight_age_dPC,Measurement_duration,FoodIntake_mean_contr,FoodIntake_SD_contr,FoodIntake_N_contr,FoodIntake_mean_exp,FoodIntake_SD_exp,FoodIntake_N_exp,FoodIntake_Cd,FoodIntake_Cd_Var,FoodIntake_Hd,FoodIntake_Hd_Var,FoodIntake_Hd_Var_combined,FoodIntake_N_total,Bodyweight_mean_contr,Bodyweight_SD_contr,Bodyweight_N_contr,Bodyweight_mean_exp,Bodyweight_SD_exp,Bodyweight_N_exp,Bodyweight_Cd,Bodyweight_Cd_Var,Bodyweight_Hd,Bodyweight_Hd_Var,Bodyweight_Hd_Var_combined,Bodyweight_N_total,Offspr_data_source,Paper_measur_type,Comments
41,ES327,"Comp1503,Comp1504,Comp1505,Comp1506,Comp1507,Comp1508,Comp1509,Comp1510,Comp1511,Comp1512,Comp1513,Comp1514,Comp1515,Comp1516,Comp1517,Comp1518,Comp1519",Exp174,Study120,yes,2,Exp174_M_1_SC,Platt,2014,J Dev Orig Health Disease,mouse,ICR,chow,-28,35,yes,63,D12450B,3.847,0.249431634,D12451,4.76,0.252631579,D12450B,3.847,0.249431634,35,yes,no,M,378,378,329,0.930588235,0.171034224,16,0.821058824,0.153491713,15,-0.6728,0.1365,-0.6552,0.1294,0.134277227,42,40.82764706,7.20875285,16,43.20117647,9.170786418,15,0.2889,0.1305,0.2814,0.1238,0.130109357,42,raw_data,g/day,10MLard vs. 45MLard; lard-fed groups only (most common treatment)
42,ES323,Comp1499,Exp170,Study118,no,2,Exp170_M_0_2,Turdi,2013,J Mol Cell Cardiol,mouse,FVB,chow,2,42,yes,40,D12450B,3.847,0.249431634,D12451,4.76,0.252631579,D12451,4.76,0.252631579,42,no,no,M,162,162,120,1.102,0.17211624,14,0.993,0.181416648,17,-0.6148,0.1363,-0.5987,0.1293,0.13643213,31,30.9,2.619160171,14,38.1,6.184658438,17,1.4643,0.1648,1.4261,0.1563,0.165316949,31,Tab2,kcal/day,"MLPHvs. MHPH; diet codes from (Turdi, Hu,Ren 2013)"
43,ES105,Comp0498,Exp057,Study040,no,1,Exp057_M_0_1,Page,2009,Am J Physiol Regul Integr Comp Physiol,rat,Sprague-Dawley,chow,-30,43,yes,73,D12450B,3.847,0.249431634,D12451,4.76,0.252631579,D12451,4.76,0.252631579,43,yes,no,M,142,142,56,0.665,0.065817931,12,0.64,0.072746134,12,-0.3604,0.1694,-0.348,0.1579,0.16941903,24,656,33.94819583,12,755,38.79793809,12,2.7158,0.3203,2.6221,0.2986,0.322925949,24,Table2,kcal/day,Control high fat vs. HF high fat; no info on dame age
44,ES279,Comp1256,Exp149,Study097,no,1,Exp149_M_0_1,Beltrand,2012,J Nutr Metab,rat,Wistar,chow,0,42,yes,42,Teklad2018,3.07,0.319862425,D12451,4.76,0.252631579,D12451,4.76,0.252631579,42,yes,no,M,64,64,85,0.662,0.370523953,8,0.648,0.37335238,8,-0.0376,0.25,-0.0356,0.2235,0.250045263,16,391.21,49.7803174,8,408.09,49.7803174,8,0.3391,0.2536,0.3206,0.2267,0.25367087,16,"Fig5, Fig4",kcal/g/day,CON-S-hf vs. MHF-S-hf; saline injection groups included; SE values for RelIntake and Bodyweights were taken as the last (vidsible) SE vaues from the figures; SE for AbsIntake and RelIntake2 were calculated from these values + means
45,ES112,Comp0507,Exp062,Study042,no,2,Exp062_M_0_2,White,2009,Am J Physiol Regul Integr Comp Physiol,rat,Long-Evans,chow,-28,43,yes,71,D12450B,3.847,0.249431634,D12492,5.241,0.249940377,D12492,5.241,0.249940377,78,yes,no,M,148,113,69,1.37,0.20238577,10,1.346,0.341525987,10,-0.0855,0.2002,-0.0819,0.1836,0.200186323,20,409.52,27.60668397,10,448.41,55.21336795,10,0.891,0.2198,0.8533,0.2017,0.22022558,20,"Fig6B,A",kcal/day,"LF-HF vs. HF-HF; no info on temperature, used body weight from week13"
46,ES281,Comp1258,Exp151,Study099,no,1,Exp151_M_0_1,Dahlhoff,2014,Biochim Biophys Acta,mouse,NMRI,chow,-63,21,yes,84,E15741-34_contr,3.503,0.377506882,E15741-34,5.004,0.237388724,E15741-34_contr,3.503,0.377506882,42,yes,yes,M,172,172,172,1.43,0.320135909,7,2.011,0.269866634,7,1.9624,0.4232,1.8371,0.3709,0.426336636,14,37.61,2.658721497,8,39.24,2.213594362,10,0.674,0.2376,0.6419,0.2155,0.237876113,18,"Tab2, Tab3",g/day,Mat-CD vs. Mat-HFD; 
47,ES282,Comp1259,Exp151,Study099,no,2,Exp151_M_0_2,Dahlhoff,2014,Biochim Biophys Acta,mouse,NMRI,chow,-63,21,yes,84,E15741-34_contr,3.503,0.377506882,E15741-34,5.004,0.237388724,E15741-34_contr,3.503,0.377506882,42,yes,yes,M,172,172,172,1.159,0.346593422,7,2.017,0.330718914,7,2.5328,0.5148,2.3712,0.4512,0.519988846,14,33.42,3,9,30.26,2.213594362,10,-1.2092,0.2496,-1.155,0.2277,0.250347141,19,"Tab2, Tab3",g/day,Mat-CD vs. Mat-HFD; 
48,ES336,Comp1592,Exp178,Study124,no,1,Exp178_F_0_1,Flynn,2013,Am J Physiol Regul Integr Comp Physiol,rat,Sprague-Dawley,choice,-42,56,yes,98,Harlan8640,3.099,0.409276944,Teklad06415,4.619,0.235357047,Harlan8640,3.099,0.409276944,56,yes,no,F,140,140,1,1.287,0.384666089,8,1.645,0.502145397,6,0.8183,0.3156,0.7661,0.2766,0.316121217,14,239.57,17.5079639,8,251.82,20.9431373,6,0.6442,0.3065,0.6031,0.2686,0.306822067,14,"Tab1, Fig1","kcal/day, kcal/g/day",NF-NF vs. HF-NF; 
49,ES291,Comp1344,Exp154,Study102,yes,1,Exp154_M_1_SC,Gregorio,2013,Eur J Nutr,mouse,C57BL/6,chow,0,42,yes,42,SC_BR2,4.149,0.43678161,HF_BR2,6.45,0.133567663,HF_BR2,6.45,0.133567663,42,yes,no,M,105,105,63,5.855,1.162755348,5,8.499,1.274558747,5,2.1673,0.6349,1.9576,0.5179,0.495804944,20,22.2,1.118033989,5,32.2,4.248529157,5,3.2191,0.9181,2.9076,0.749,0.611353444,20,"Tab2, text p 762",g/day,SC vs. GL/HF; 
50,ES197,Comp0861,Exp116,Study075,no,2,Exp116_F_0_2,Ferezou-Viala,2007,Am J Physiol Regul Integr Comp Physiol,rat,Wistar,chow,-35,43,yes,78,contr_FR2,3.75,0.271186441,HF_FR2,5.5,0.170212766,HF_FR2,5.5,0.170212766,43,yes,no,F,92,92,28,0.99,0.114315353,12,1.313,0.433012702,12,1.02,0.1883,0.9848,0.1756,0.188708281,24,231.3,12,9,217.2,19.8,9,-0.8613,0.2428,-0.8202,0.2203,0.243244973,18,Tab2,kcal/day,Control vs. High-fat;  body weights Tab3 dayPG 92
51,ES195,Comp0859,Exp115,Study075,no,2,Exp115_M_0_2,Ferezou-Viala,2007,Am J Physiol Regul Integr Comp Physiol,rat,Wistar,chow,-35,43,yes,78,contr_FR2,3.75,0.271186441,HF_FR2,5.5,0.170212766,HF_FR2,5.5,0.170212766,43,yes,no,M,92,92,28,1.01,0.200917894,12,1.161,0.275279858,11,0.6312,0.1829,0.6084,0.1699,0.183055533,23,401.4,37.2,9,350.3,40.2,9,-1.3194,0.2706,-1.2566,0.2454,0.271567333,18,Tab2,kcal/day,Control vs. High-fat;  body weights Tab3 dayPG 92
52,ES325,Comp1501,Exp172,Study119,no,1,Exp172_M_0_1,Wu,1999,AsiaPacJ ClinNutr,rat,Sprague-Dawley,chow,-70,21,yes,91,LF_JP1,3.518,0.331566995,HF_JP1,4.366,0.341733251,HF_JP1,4.366,0.341733251,42,yes,yes,M,162,162,120,0.614,0.063686733,6,0.566,0.051439285,6,-0.8292,0.362,-0.7654,0.3084,0.362625191,12,414,39.19183588,6,541,39.19183588,6,3.2405,0.7709,2.9912,0.6568,0.780697205,12,Tab4,kcal/day,LF vs.HF; Experiment 2
53,ES324,Comp1500,Exp171,Study119,no,1,Exp171_M_0_1,Wu,1999,AsiaPacJ ClinNutr,rat,Sprague-Dawley,chow,-70,42,yes,112,LF_JP1,3.518,0.331566995,HF_JP1,4.366,0.341733251,HF_JP1,4.366,0.341733251,42,yes,no,M,162,162,120,0.608,0.080833162,6,0.531,0.041641326,6,-1.1976,0.3931,-1.1055,0.3349,0.394439846,12,458,48.98979486,6,610,41.64132563,6,3.3433,0.7991,3.0861,0.6809,0.809533994,12,Tab3,kcal/day,LF vs.HF; Experiment 1
54,ES326,Comp1502,Exp173,Study119,no,1,Exp173_M_0_1,Wu,1999,AsiaPacJ ClinNutr,rat,Sprague-Dawley,chow,-70,2,yes,72,LF_JP1,3.518,0.331566995,HF_JP1,4.366,0.341733251,HF_JP1,4.366,0.341733251,42,yes,no,M,162,162,120,0.557,0.029393877,6,0.562,0.085732141,6,0.078,0.3336,0.072,0.2842,0.333592533,12,338,14.69693846,6,384,46.54030511,6,1.3329,0.4074,1.2304,0.3471,0.409027541,12,Tab5,kcal/day,LF vs.HF; Experiment 3
55,ES292,Comp1345,Exp155,Study103,no,1,Exp155_M_0_1,Jackson,2012,Am J Physiol Renal Physiol,rat,Sprague-Dawley,chow,-42,42,yes,84,NF_US1,3.991,0.409749205,HF_US1,4.038,0.234862385,NF_US1,3.991,0.409749205,66,yes,no,M,140,140,7,0.973,0.692538808,10,1.079,0.360499653,10,0.192,0.2009,0.1839,0.1843,0.200939423,20,408.57,32.5714599,10,427.17,57.86968118,10,0.3961,0.2039,0.3794,0.1871,0.203998454,20,"Tab2, Fig1A",g/day,"NF-NF vs. HF-NF; not sure about intakemeasurement duration and diet composition, did not use the -HF groups becouse fed chow suppl. With fructose (choice)"
56,ES307,"Comp1453,Comp1454,Comp1455,Comp1456,Comp1457,Comp1458",Exp161,Study109,yes,1,Exp161_F_1_SC,Masuyama,2014,Plos ONE,mouse,ICR,chow,-28,42,yes,70,OY_CD_JP,3.405,0.392638037,HF_JP,5.108,0.219675263,OY_CD_JP,3.405,0.392638037,42,yes,yes,F,119,119,84,0.919833333,0.142059847,6,1.000333333,0.121967209,6,0.608,0.3487,0.5613,0.2971,0.342084936,18,26.02,1.888862091,6,32.29166667,1.134327995,6,4.0256,1.0085,3.7159,0.8594,0.716886467,18,Fig2AB,g/day,OCC vs. OHH; 
57,ES321,Comp1497,Exp169,Study117,yes,1,Exp169_M_1_SC,Tuohetimulati,2012,Diabetol Int,mouse,C57BL/6J,chow,0,21,yes,21,OY_CD_JP,3.405,0.392638037,D12492,5.241,0.249940377,OY_CD_JP,3.405,0.392638037,42,,,M,63,63,21,1.031,0.083138439,27,1.068,0.065665821,22,0.4879,0.0849,0.4801,0.0822,0.084320916,63,19.48,1.143153533,27,18.67,0.98498731,22,-0.7532,0.0883,-0.7412,0.0855,0.086851721,63,"text p220, Fig1b",kcal/day,N vs.HFG; 
58,ES305,"Comp1441,Comp1442,Comp1443,Comp1444,Comp1445,Comp1446",Exp161,Study109,yes,1,Exp161_M_1_SC,Masuyama,2014,Plos ONE,mouse,ICR,chow,-28,42,yes,70,OY_CD_JP,3.405,0.392638037,HF_JP,5.108,0.219675263,OY_CD_JP,3.405,0.392638037,42,yes,yes,M,119,119,84,0.963666667,0.148330712,6,1.117166667,0.116863168,6,1.1496,0.3884,1.0611,0.3309,0.364609256,18,29.31166667,2.408298154,6,35.76666667,1.574769824,6,3.1725,0.7527,2.9285,0.6414,0.571558674,18,Fig1AB,g/day,OCC vs. OHH; 
59,ES304,"Comp1435,Comp1436,Comp1437,Comp1438,Comp1439,Comp1440",Exp161,Study109,yes,2,Exp161_M_1_SC,Masuyama,2014,Plos ONE,mouse,ICR,chow,-28,21,yes,49,OY_CD_JP,3.405,0.392638037,HF_JP,5.108,0.219675263,OY_CD_JP,3.405,0.392638037,42,yes,yes,M,119,119,84,0.963666667,0.148330712,6,1.0715,0.144187378,6,0.7372,0.356,0.6805,0.3033,0.346196674,18,29.31166667,2.408298154,6,32.89333333,2.300260855,6,1.5209,0.4297,1.4039,0.3662,0.388081534,18,Fig1AB,g/day,OCC vs. OHC; 
60,ES320,Comp1496,Exp169,Study117,yes,2,Exp169_M_1_SC,Tuohetimulati,2012,Diabetol Int,mouse,C57BL/6J,chow,0,42,yes,42,OY_CD_JP,3.405,0.392638037,D12492,5.241,0.249940377,OY_CD_JP,3.405,0.392638037,42,,,M,63,63,21,1.031,0.083138439,27,1.085,0.115991379,14,0.5663,0.1124,0.5553,0.1081,0.110912895,63,19.48,1.143153533,27,18.37,0.972830921,14,-1.019,0.1211,-0.9992,0.1165,0.116389423,63,"text p220, Fig1b",kcal/day,N vs.HFGL; 
61,ES306,"Comp1447,Comp1448,Comp1449,Comp1450,Comp1451,Comp1452",Exp161,Study109,yes,2,Exp161_F_1_SC,Masuyama,2014,Plos ONE,mouse,ICR,chow,-28,21,yes,49,OY_CD_JP,3.405,0.392638037,HF_JP,5.108,0.219675263,OY_CD_JP,3.405,0.392638037,42,yes,yes,F,119,119,84,0.919833333,0.142059847,6,0.9965,0.146195075,6,0.5319,0.3451,0.491,0.2941,0.340030028,18,26.02,1.888862091,6,29.48,2.329506385,6,1.6316,0.4443,1.5061,0.3785,0.3963427,18,Fig2AB,g/day,OCC vs. OHC; 
62,ES199,Comp0863,Exp117,Study076,no,2,Exp117_M_0_2,Couvreur,2011,Plos ONE,rat,Wistar,chow,-42,50,yes,92,contr_FR3,3.714,0.292275574,pal_FR3,3.919,0.170899313,pal_FR3,3.919,0.170899313,50,yes,no,M,92,92,28,0.918,0.236,16,0.836,0.24,16,-0.3445,0.1269,-0.3358,0.1205,0.126879361,32,514.04,80.67733263,20,500.43,85.19418994,20,-0.164,0.1003,-0.1608,0.0964,0.100340219,40,Tab2,kcal/day,PC vs. PP; Experiment 1
63,ES203,Comp0867,Exp119,Study076,no,2,Exp119_F_0_2,Couvreur,2011,Plos ONE,rat,Wistar,chow,-42,48,yes,90,contr_FR3,3.714,0.292275574,HF_FR3,5.713,0.148803539,pal_FR3,3.919,0.170899313,97,yes,no,F,134,134,37,0.911,0.263043723,18,0.924,0.188480768,29,0.0592,0.0901,0.0582,0.0871,0.09007595,47,317,42.42640687,18,265,26.92582404,29,-1.5461,0.1155,-1.5202,0.1116,0.115716181,47,Tab5,kcal/g/day,MPC vs. MPH; Experiment 2
64,ES201,Comp0865,Exp118,Study076,no,2,Exp118_M_0_2,Couvreur,2011,Plos ONE,rat,Wistar,chow,-42,48,yes,90,contr_FR3,3.714,0.292275574,HF_FR3,5.713,0.148803539,pal_FR3,3.919,0.170899313,97,yes,no,M,134,134,37,0.865,0.225139956,22,0.944,0.188480768,29,0.3854,0.0814,0.3794,0.0789,0.081406124,51,546,70.3562364,22,459,48.46648326,29,-1.4783,0.1014,-1.4555,0.0983,0.101554449,51,Tab5,kcal/g/day,MPC vs. MPH; Experiment 2
65,ES319,"Comp1490,Comp1491,Comp1492,Comp1493,Comp1494,Comp1495",Exp168,Study116,no,1,Exp168_M_0_1,Sun,2013,Am J Physiol Regul Integr Comp Physiol,rat,Sprague-Dawley,chow,2,42,yes,40,Purina_US1,3.354,0.398665555,D12492,5.241,0.249940377,Purina_US1,3.354,0.398665555,42,yes,no,M,84,84,42,1.306,0.317310573,12,1.3235,0.170610668,12,0.0687,0.1668,0.0663,0.1555,0.166766569,24,252.9116667,23.2244311,12,294.5466667,16.45589864,12,2.0686,0.2558,1.9973,0.2385,0.257330469,24,Fig2AB,kcal/day,CHOW-SED vs. HF-SED; 
66,ES288,Comp1341,Exp153,Study101,no,1,Exp153_F_0_1,Dunn,2009,Endocrinology,mouse,C57BL/6,chow,-28,28,yes,56,Purina_US1,3.354,0.398665555,D12451,4.76,0.252631579,Purina_US1,3.354,0.398665555,49,no,no,F,91,91,14,1.68,0.403050865,18,1.627,0.389304508,22,-0.134,0.1012,-0.1313,0.0973,0.101236939,40,17.04,2.333452378,18,19.94,2.485920353,22,1.1989,0.119,1.1751,0.1143,0.119179312,40,"SFig1, Fig2",g/g/day,"Ch vs. HF; only intake of chow used, because intake of HF done on the same animals"
67,ES287,Comp1340,Exp153,Study101,no,1,Exp153_M_0_1,Dunn,2009,Endocrinology,mouse,C57BL/6,chow,-28,28,yes,56,Purina_US1,3.354,0.398665555,D12451,4.76,0.252631579,Purina_US1,3.354,0.398665555,49,no,no,M,91,91,14,1.495,0.263043723,18,1.455,0.336535288,26,-0.1295,0.0942,-0.1272,0.0909,0.094209711,44,20.8,1.951614716,18,23.5,2.498519562,26,1.1775,0.1098,1.1564,0.1059,0.109936867,44,"SFig1, Fig2",g/g/day,"Ch vs. HF; only intake of chow used, because intake of HF done on the same animals"
68,ES106,Comp0499,Exp058,Study041,no,1,Exp058_F_0_1,Mitra,2009,Am J Physiol Regul Integr Comp Physiol,rat,Wistar,chow,-42,22,no,64,D12450B,3.847,0.249431634,D12492,5.241,0.249940377,Purina_US1,3.354,0.398665555,43,yes,yes,F,213,112,170,0.908,0.270199926,12,0.896,0.249415316,12,-0.0462,0.1667,-0.0446,0.1554,0.166711875,24,254.68,34.64101615,12,246.69,34.64101615,12,-0.2307,0.1678,-0.2227,0.1564,0.167793832,24,"Fig4,6",kcal/day,"LLC vs. HLC; not sure about offspring housing, used body weight from day 90"
69,ES108,Comp0501,Exp060,Study041,no,1,Exp060_F_0_1,Mitra,2009,Am J Physiol Regul Integr Comp Physiol,rat,Wistar,chow,-42,22,no,64,D12450B,3.847,0.249431634,D12492,5.241,0.249940377,Purina_US1,3.354,0.398665555,43,yes,yes,F,213,112,170,0.889,0.249415316,12,0.886,0.252879418,12,-0.0119,0.1667,-0.0115,0.1554,0.166669672,24,254.18,34.64101615,12,247.69,34.64101615,12,-0.1874,0.1674,-0.1809,0.1561,0.167410412,24,"Fig4,6",kcal/day,"LHC vs. HHC; not sure about offspring housing, used body weight from day 90"
70,ES312,Comp1467,Exp164,Study112,no,1,Exp164_F_0_1,King,2013,Plos ONE,mouse,C57BL/6J,chow,-84,42,yes,126,D12328,4.076,0.197414806,D12331,5.562,0.198190435,RM1,3.285,0.212467724,42,yes,no,F,101,101,30,1.008,0.155897402,31,1.039,0.18734994,39,0.178,0.0581,0.176,0.0568,0.058126855,70,21.94,3.0622704,31,20.9,2.248199279,39,-0.3942,0.059,-0.3898,0.0577,0.059016326,70,"text p2517, Fig2",g/day,CON vs. DIO; timing and sample sizes - request - received
71,ES316,"Comp1479,Comp1480,Comp1481,Comp1482,Comp1483,Comp1484,Comp1485,Comp1486,Comp1487",Exp166,Study114,no,1,Exp166_F_0_1,Samuelsson,2013,Front Physiol,mouse,C57BL/6J,choice,-42,41,yes,83,RM1,3.285,0.212467724,obesogenic_UK1,4,0.176470588,RM1,3.285,0.212467724,41,yes,no,F,105,105,63,1.429333333,0.278616822,6,1.452222222,0.323666495,6,0.0758,0.3336,0.07,0.2842,0.333578333,12,13.56222222,1.351591654,6,15.71555556,2.198726904,6,1.1799,0.3913,1.0892,0.3335,0.392651165,12,Fig2B,kcal/day,OC vs. OSF; ass. individual housing for offspring
72,ES311,Comp1466,Exp164,Study112,no,1,Exp164_M_0_1,King,2013,Plos ONE,mouse,C57BL/6J,chow,-84,42,yes,126,D12328,4.076,0.197414806,D12331,5.562,0.198190435,RM1,3.285,0.212467724,42,yes,no,M,101,101,30,0.983,0.137113092,47,1.024,0.131453414,30,0.3038,0.0552,0.3008,0.0541,0.055213133,77,28.09,2.262366018,47,28.34,2.409979253,30,0.1077,0.0547,0.1067,0.0536,0.054685828,77,"text p2517, Fig2",g/day,CON vs. DIO; timing and sample sizes - request - received
73,ES302,Comp1433,Exp159,Study107,no,1,Exp159_FM_0_1,Oben,2010,J Hepatol,mouse,C57BL/6J,choice,-42,21,no,63,RM1,3.285,0.212467724,obesogenic_UK1,4,0.176470588,RM1,3.285,0.212467724,41,,,FM,105,105,7,3.892,1.533380579,6,3.225,1.631360169,6,-0.4213,0.3407,-0.3889,0.2903,0.340895494,12,21.48,0.9,4,21.93,0.96,4,0.4836,0.5146,0.4205,0.3891,0.514735021,8,Fig3AB,g/day,"OL vs. OOSL; ass. calorific intace reported is average daily intake for the last week of measurements, at 3 montsh yo"
74,ES315,"Comp1470,Comp1471,Comp1472,Comp1473,Comp1474,Comp1475,Comp1476,Comp1477,Comp1478",Exp166,Study114,no,1,Exp166_M_0_1,Samuelsson,2013,Front Physiol,mouse,C57BL/6J,choice,-42,41,yes,83,RM1,3.285,0.212467724,obesogenic_UK1,4,0.176470588,RM1,3.285,0.212467724,41,yes,no,M,105,105,63,1.308777778,0.259876894,6,1.474,0.449243809,6,0.4502,0.3418,0.4156,0.2912,0.341969501,12,17.83666667,1.722517537,6,18.00111111,3.408460063,6,0.0609,0.3335,0.0562,0.2842,0.333491255,12,Fig2A,kcal/day,OC vs. OSF; ass. individual housing for offspring
75,ES231,"Comp1018,Comp1019,Comp1020,Comp1021,Comp1022,Comp1023,Comp1024,Comp1025,Comp1026,Comp1027,Comp1028,Comp1029,Comp1030,Comp1031,Comp1032,Comp1033,Comp1034,Comp1035,Comp1036",Exp128,Study084,no,1,Exp128_F_0_1,Samuelsson,2008,Hypertension,mouse,C57BL/6J,choice,-42,41,yes,83,RM1,3.285,0.212467724,obesogenic_UK1,4,0.176470588,RM1,3.285,0.212467724,41,yes,no,F,175,168,133,1.177894737,0.240737463,8,1.410947368,0.247902358,8,0.9538,0.2784,0.9018,0.2489,0.279044401,16,18.19526316,1.103258332,8,19.51052632,1.119755612,8,1.1833,0.2938,1.1187,0.2626,0.29469606,16,Fig2,kcal/day,OC vs. OO; ass. individual housing for offspring
76,ES230,"Comp0999,Comp1000,Comp1001,Comp1002,Comp1003,Comp1004,Comp1005,Comp1006,Comp1007,Comp1008,Comp1009,Comp1010,Comp1011,Comp1012,Comp1013,Comp1014,Comp1015,Comp1016,Comp1017",Exp127,Study084,no,1,Exp127_M_0_1,Samuelsson,2008,Hypertension,mouse,C57BL/6J,choice,-42,41,yes,83,RM1,3.285,0.212467724,obesogenic_UK1,4,0.176470588,RM1,3.285,0.212467724,41,yes,no,M,175,168,133,1.089526316,0.164548505,8,1.217526316,0.286671644,8,0.5476,0.2594,0.5178,0.2318,0.259575601,16,23.49526316,1.039716561,8,25.13157895,1.759294117,8,1.1324,0.2901,1.0706,0.2593,0.290935156,16,Fig2,kcal/day,OC vs. OO; ass. individual housing for offspring
77,ES036,"Comp0056,Comp0057,Comp0058,Comp0059,Comp0060,Comp0061,Comp0062,Comp0063,Comp0064,Comp0065,Comp0066,Comp0067,Comp0068,Comp0069",Exp017,Study016,no,1,Exp017_M_0_1,Khan,2003,Hypertension,rat,Sprague-Dawley,chow,-10,44,yes,54,RM3v1,3.298,0.361088211,RM3lard,4.745,0.196721311,RM1,3.285,0.212467724,44,yes,no,M,141,141,98,1.359357143,1.162572763,12,1.235571429,0.590352437,14,-0.1377,0.1551,-0.1333,0.1455,0.15513209,26,349.9357143,49.50857675,12,383.9578571,63.24855176,14,0.5931,0.1615,0.5744,0.1515,0.161635558,26,Fig1c,g/day,"males: Control vs. Lard fed, food intake per g calculated using body weighs Fig1a; not sure about N per group, no info on temperature and photoperiod, housing"
78,ES037,"Comp0070,Comp0071,Comp0072,Comp0073,Comp0074,Comp0075,Comp0076,Comp0077,Comp0078,Comp0079,Comp0080,Comp0081,Comp0082,Comp0083",Exp017,Study016,no,1,Exp017_F_0_1,Khan,2003,Hypertension,rat,Sprague-Dawley,chow,-10,44,yes,54,RM3v1,3.298,0.361088211,RM3lard,4.745,0.196721311,RM1,3.285,0.212467724,44,yes,no,F,141,141,98,1.211785714,0.613981386,12,1.175214286,0.496957745,14,-0.0661,0.1548,-0.064,0.1452,0.154847238,26,226.64,39.98433729,12,241.0135714,33.38669346,14,0.3932,0.1577,0.3807,0.1479,0.157781332,26,Fig1d,g/day,"females: Control vs. Lard fed, food intake per g calculated using body weighs Fig1b; not sure about N per group, no info on temperature and photoperiod, housing"
79,ES040,"Comp0116,Comp0117,Comp0118,Comp0119,Comp0120,Comp0121,Comp0122,Comp0123,Comp0124",Exp019,Study018,no,1,Exp019_M_0_1,Kirk,2009,Plos ONE,rat,Sprague-Dawley,chow,-42,43,yes,85,RM3v1,3.298,0.361088211,RM3vAFE,4.55,0.253443526,RM1,3.285,0.212467724,43,yes,no,M,106,106,57,1.395444444,0.212701147,8,1.399666667,0.340800365,8,0.0149,0.25,0.0141,0.2235,0.2500071,16,263.35,7.692073843,8,307.7244444,22.75029475,8,2.6131,0.4634,2.4706,0.4142,0.467995156,16,Fig2c,kcal/day,"males: Control vs. Lard fed, food intake per g calculated using body weighs Fig2a; not sure about N (8-11), used conservative 8"
80,ES041,"Comp0125,Comp0126,Comp0127,Comp0128,Comp0129,Comp0130,Comp0131,Comp0132,Comp0133",Exp019,Study018,no,1,Exp019_F_0_1,Kirk,2009,Plos ONE,rat,Sprague-Dawley,chow,-42,43,yes,85,RM3v1,3.298,0.361088211,RM3vAFE,4.55,0.253443526,RM1,3.285,0.212467724,43,yes,no,F,106,106,57,1.205888889,0.32647069,8,1.362444444,0.367309739,8,0.4505,0.2563,0.426,0.2291,0.256481286,16,194.9244444,23.59353961,8,220.7844444,27.57570912,8,1.0077,0.2817,0.9527,0.2518,0.282415618,16,Fig2d,kcal/day,"females: Control vs. Lard fed, food intake per g calculated using body weighs Fig2b; not sure about N (8-11), used conservative 8"
81,ES224,"Comp0969,Comp0973,Comp0977,Comp0981,Comp0985,Comp0989,Comp0993",Exp038,Study031,yes,1,Exp038_FM_1_SC,Bayol,2007,Brit J Nutr,rat,Wistar,choice,1,22,no,21,RM3v1,3.298,0.361088211,JunkFood_UK1,NA,NA,RM3v1,3.298,0.361088211,43,no,no,FM,92,92,49,1.483571429,2.641766292,36,1.515,2.667007954,36,0.0118,0.0556,0.0117,0.0544,0.055556189,108,215.6957143,286.460829,36,205.55,271.5767787,36,-0.0363,0.0556,-0.036,0.0544,0.055561556,108,raw,kcal/day,"CCC vs. JCC; raw data from author request, originally Comp299to2302"
82,ES225,"Comp0970,Comp0974,Comp0978,Comp0982,Comp0986,Comp0990,Comp0994",Exp038,Study031,yes,2,Exp038_FM_1_SC,Bayol,2007,Brit J Nutr,rat,Wistar,choice,1,43,yes,42,RM3v1,3.298,0.361088211,JunkFood_UK1,NA,NA,RM3v1,3.298,0.361088211,43,no,no,FM,92,92,49,1.483571429,2.641766292,36,1.466142857,2.757003031,36,-0.0065,0.0556,-0.0064,0.0544,0.055555745,108,215.6957143,286.460829,36,203.29,279.0632831,36,-0.0439,0.0556,-0.0434,0.0544,0.055564276,108,raw,kcal/day,"CCC vs. JJC; raw data from author request, originally Comp299to2302"
